Year,NB.std,NB.res,KGU.std,KGU.res
1936,0.51739,0.55666,0.67958,0.75458
1937,0.95228,1.05842,0.77141,0.95761
1938,0.93805,1.03375,0.95884,1.06876
1939,0.71063,0.74499,1.06917,1.13089
1940,0.85859,0.96474,0.89478,0.89275
1941,1.30053,1.35619,1.17973,1.2168
1942,1.37129,1.36126,1.33358,1.26666
1943,1.09933,1.03265,1.21048,1.06628
1944,0.89088,0.85156,0.9194,0.78452
1945,0.93797,0.92835,1.00612,0.95351
1946,0.2738,0.27093,0.55493,0.5248
1947,0.57583,0.70435,0.6258,0.75036
1948,0.93037,1.05623,0.79397,0.96985
1949,1.11257,1.20832,1.01662,1.10913
1950,0.69246,0.7466,0.84374,0.92879
1951,0,0.25289,0.3489,0.4091
1952,1.29144,1.50557,1.02544,1.34083
1953,0.75187,0.77829,0.76362,0.85348
1954,0.6721,0.75146,0.87484,0.9942
1955,0.57668,0.68897,0.78625,0.88996
1956,0.37404,0.49442,0.57717,0.68562
1957,1.08429,1.2733,0.91802,1.15581
1958,1.20801,1.27386,1.03753,1.15344
1959,0,0.19098,0.45849,0.48831
1960,1.14526,1.33459,0.99877,1.21052
1961,0.76133,0.81699,0.82857,0.94003
1962,1.03512,1.09142,1.06402,1.18742
1963,0.70881,0.77249,0.79632,0.84047
1964,0.39411,0.4679,0.53179,0.64153
1965,1.12082,1.2808,0.89053,1.0961
1966,1.13318,1.17615,0.97172,1.08384
1967,0.69733,0.71626,0.98736,1.03359
1968,0.70635,0.78613,1.03462,1.07516
1969,1.15638,1.21581,1.25582,1.20397
1970,0.68518,0.67572,1.01981,0.93364
1971,0.36909,0.42119,0.61019,0.65326
1972,1.05422,1.18184,1.02728,1.16334
1973,1.20312,1.23421,1.20063,1.29097
1974,1.03007,1.03054,0.98437,0.98023
1975,1.495,1.53404,1.26472,1.25501
1976,0.74852,0.65384,0.83611,0.72607
1977,0,0.03399,0,0.11502
1978,1.50409,1.66782,1.06855,1.41347
1979,1.33405,1.29272,1.53969,1.64022
1980,1.28917,1.22809,1.30089,1.24093
1981,1.04064,1.00691,1.12025,0.98994
1982,1.05729,1.00392,1.11139,1.01294
1983,1.52867,1.49279,1.16261,1.09274
1984,1.07514,0.9274,0.97937,0.89723
1985,1.62519,1.5201,1.27718,1.22626
1986,1.46291,1.30185,1.13547,1.03568
